ID,Batch,MMP13,SMOKE,FLU,DOB,SAC_DATE
JK001,1,KO,RA,PBS,2/27/2017,6/26/2017
JK004,1,KO,RA,PBS,2/27/2017,6/26/2017
JK005,1,KO,RA,PBS,2/27/2017,6/26/2017
JK011,1,WT,SM,PBS,2/27/2017,6/29/2017
JK012,1,KO,RA,FLU,2/27/2017,6/30/2017
JK014,1,WT,SM,PBS,2/27/2017,6/29/2017
JK017,1,WT,SM,PBS,2/27/2017,6/29/2017
JK018,1,KO,RA,FLU,2/27/2017,6/30/2017
JK021,1,WT,SM,FLU,2/27/2017,6/27/2017
JK022,1,KO,SM,PBS,2/27/2017,6/29/2017
JK023,1,KO,SM,PBS,3/10/2017,6/29/2017
JK028,1,KO,SM,FLU,3/15/2017,6/27/2017
JK031,1,WT,SM,FLU,3/15/2017,6/27/2017
JK036,1,KO,RA,FLU,3/15/2017,6/30/2017
JK039,1,WT,RA,FLU,3/15/2017,6/27/2017
JK040,1,WT,RA,FLU,3/15/2017,6/27/2017
JK215,2,WT,RA,PBS,9/8/2017,1/12/2018
JK217,2,WT,RA,PBS,9/8/2017,1/12/2018
JK218,2,WT,RA,PBS,9/8/2017,1/12/2018
JK219,2,KO,SM,PBS,10/7/2017,2/2/2018
JK228,2,KO,SM,FLU,10/7/2017,2/2/2018
JK229,2,WT,SM,FLU,10/7/2017,2/2/2018
JK230,2,WT,RA,FLU,10/7/2017,2/2/2018
JK231,2,KO,SM,FLU,10/7/2017,2/2/2018
